SPECIES	QUERY	SYMBOL
rat	PPAP2B	Plpp3
human	C1ORF198	C1orf198
human	C11ORF45	C11orf45
human	IL28RA	IFNLR1
mouse	IL28RA	Ifnlr1
rat	IL28RA	Ifnlr1
human	C16ORF68	METTL22
human	STAG3L4	STAG3L4
human	STAG3L4	STAG3L4
human	GALIG	LGALS3
human	CDC2	POLD1
human	CDC2	CDK1
mouse	CDC2	Cdk1
mouse	CDC2	Cdc2b
rat	CDC2	Cdk1
human	BRWD2	WDR11
human	BRWD2	PHIP
mouse	BRWD2	Wdr11
rat	BRWD2	Wdr11
human	APITD1	CENPS
human	APITD1	CENPS-CORT
mouse	APITD1	Cenps
rat	APITD1	Cenps
human	CDC45L	CDC45
mouse	CDC45L	Cdc45
rat	CDC45L	Cdc45
human	WDR51A	POC1A
mouse	WDR51A	Poc1a
rat	WDR51A	Poc1a
human	C17ORF53	C17orf53
human	FAM54A	MTFR2
mouse	FAM54A	Mtfr2
human	CCDC99	SPDL1
mouse	CCDC99	Spdl1
rat	CCDC99	Spdl1
human	ATAD2	ATAD2
mouse	ATAD2	Atad2
rat	ATAD2	Atad2
human	C20ORF100	TOX2
human	SGOL2	SGO2
mouse	SGOL2	Sgo2a
rat	SGOL2	Sgo2
human	PTTG3P	PTTG3P
human	PTTG3P	PTTG3P
human	C4ORF34	SMIM14
human	KIAA0430	MARF1
human	ZNF514	ZNF514
human	KIAA1128	CCSER2
human	LSMD1	NAA38
mouse	LSMD1	Naa38
rat	LSMD1	Naa38
human	CASP4	CASP4
mouse	CASP4	Casp4
rat	CASP4	Casp4
human	FAM190B	CCSER2
mouse	FAM190B	Ccser2
rat	FAM190B	Ccser2
human	SFRS2	SRSF2
mouse	SFRS2	Srsf2
rat	SFRS2	Srsf2
human	SFRS7	SRSF7
mouse	SFRS7	Srsf7
rat	SFRS7	Srsf7
human	C16ORF53	PAGR1
human	UTX	KDM6A
mouse	UTX	Kdm6a
rat	UTX	Uty
human	HMGN2	HMGN2
mouse	HMGN2	Hmgn2
rat	HMGN2	Hmgn2
human	C17ORF48	ADPRM
human	SNORD36C	SNORD36C
human	TIGA1	EPB41L4A-AS1
human	TTLL5	TTLL5
mouse	TTLL5	Ttll5
rat	TTLL5	Ttll5
rat	TTLL5	Ttll5
human	TTLL5	TTLL10
mouse	TTLL5	Ttll10
human	LASS2	CERS2
mouse	LASS2	Cers2
rat	LASS2	Cers2
human	PRPF38B	PRPF38B
mouse	PRPF38B	Prpf38b
rat	PRPF38B	Prpf38b
human	ATP5EP2	ATP5F1EP2
human	KIAA2010	PPP4R3A
human	ATPBD4	DPH6
mouse	ATPBD4	Dph6
rat	ATPBD4	Dph6
human	C1ORF53	C1orf53
human	LILRA3	LILRA3
rat	LILRA3	Lilra3
human	C8ORF58	C8orf58
human	C16ORF35	NPRL3
human	C1ORF63	RSRP1
human	M6PRBP1	PLIN3
mouse	M6PRBP1	Plin3
rat	M6PRBP1	Plin3
human	LOC728554	LOC728554
human	C16ORF33	SNRNP25
mouse	C16ORF33	Snrnp25
human	C6ORF108	DNPH1
rat	C6ORF108	Dnph1
human	SETD8	KMT5A
mouse	SETD8	Kmt5a
rat	SETD8	Kmt5a
rat	SETD8	LOC100909949
human	C12ORF65	C12orf65
human	ZNF136	ZNF136
mouse	GCN1L1	Gcn1l1
human	GCN1L1	GCN1
rat	GCN1L1	Gcn1
human	C11ORF24	C11orf24
human	HBXIP	LAMTOR5
mouse	HBXIP	Lamtor5
rat	HBXIP	Lamtor5
human	SFRS16	CLASRP
mouse	SFRS16	Clasrp
rat	SFRS16	Clasrp
human	C3ORF21	XXYLT1
human	PRNPIP	ERI3
human	HN1	JPT1
human	HN1	MTRNR2L1
human	HN1	NOTCH1
mouse	HN1	Jpt1
rat	HN1	Jpt1
human	C5ORF15	C5orf15
human	ZNF789	ZNF789
human	C7ORF70	FAM220A
human	KIAA0776	UFL1
mouse	KIAA0776	Ufl1
human	ZNF275	ZNF275
human	STRA13	CENPX
human	STRA13	BHLHE40
mouse	STRA13	Cenpx
mouse	STRA13	Laptm5
mouse	STRA13	Bhlhe40
rat	STRA13	Cenpx
rat	STRA13	Bhlhe40
human	C2ORF43	LDAH
human	HNRPM	HNRNPM
mouse	HNRPM	Hnrnpm
rat	HNRPM	Hnrnpm
human	MYST3	KAT6A
mouse	MYST3	Kat6a
rat	MYST3	Kat6a
human	KIAA1632	EPG5
human	PHCA	ACER3
mouse	PHCA	Acer3
rat	PHCA	Acer3
human	C17ORF39	GID4
human	SRP14P1	SRP14P1
human	SRP14P1	SRP14P1
human	C22ORF13	GUCD1
human	AP3S1	AP3S1
mouse	AP3S1	Ap3s1
rat	AP3S1	Ap3s1
human	C1ORF25	TRMT1L
mouse	C1ORF25	Trmt1l
human	C7ORF42	TMEM248
human	LOC401357	LOC401357
human	ZSCAN16	ZSCAN16
human	ATP5I	ATP5ME
mouse	ATP5I	Atp5k
rat	ATP5I	Atp5me
human	C9ORF164	SEMA4D
human	RPS26L	RPS26P47
human	C4ORF27	HPF1
mouse	C4ORF27	Hpf1
human	N6AMT2	EEF1AKMT1
mouse	N6AMT2	Eef1akmt1
rat	N6AMT2	Eef1akmt1
human	POL3S	PRSS53
mouse	POL3S	Prss53
rat	POL3S	Prss53
human	RPL34	RPL34
mouse	RPL34	Rpl34
rat	RPL34	Rpl34
rat	RPL34	Rpl34l1
human	MYST1	KAT8
mouse	MYST1	Kat8
rat	MYST1	Kat8
human	RPS26P11	RPS26P11
human	RPS26P11	RPS26P11
human	C6ORF59	AGPAT4-IT1
human	C20ORF177	FAM217B
human	HMGN4	HMGN4
rat	HMGN4	Hmgn4
mouse	HMGN4	Hmgn2-ps1
human	ZCCHC6	TUT7
mouse	ZCCHC6	Tut7
rat	ZCCHC6	Tut7
human	MICALCL	MICALCL
mouse	MICALCL	Micalcl
rat	MICALCL	Micalcl
human	C7ORF53	LSMEM1
human	NHP2L1	SNU13
mouse	NHP2L1	Snu13
rat	NHP2L1	Snu13
human	CHP	CHP1
human	CHP	RHOV
mouse	CHP	Chp1
mouse	CHP	Ctnna2
rat	CHP	Rhov
rat	CHP	Chp1
human	C10ORF28	R3HCC1L
mouse	C10ORF28	R3hcc1l
human	PSMA2	PSMA2
